episode,return,length,epsilon,learning_rate,val_return
1,-205.11989902272816,59,,,
2,-258.9477186475549,113,,,
3,-258.52224197438255,83,,,
4,-201.2363797960682,88,,,
5,-136.71259179553675,103,,,
6,-334.7998603947832,72,,,
7,-263.1528522146719,119,,,
8,-210.1504678133318,70,,,
9,-444.1027108571567,94,,,
10,-301.04649100549545,101,,,
11,-348.5030830582449,97,,,
12,-307.4114049758351,96,,,
13,-443.61952773425764,131,,,
14,-214.91290026843353,81,,,
15,-309.9307695948533,76,,,
16,-201.0764223334356,82,,,
17,-250.1248624139663,109,,,
18,-405.00879056469165,75,,,
19,-181.93292594091483,84,,,
20,-292.7330850731398,81,,,
21,-149.2872315948868,70,,,
22,-312.0528992753333,88,,,
23,-285.4010810554023,80,,,
24,-183.70575746288108,105,,,
25,-183.09610126859667,67,,,
26,-210.31839648102812,66,,,
27,-385.7212413881644,95,,,
28,-260.4842130645124,114,,,
29,-376.7943620598358,95,,,
30,-281.2752188863648,96,,,-232.6555839340568
31,-255.79049348194764,63,,,
32,-196.39602210026467,61,,,
33,-157.38217714205922,76,,,
34,-297.5226921825698,69,,,
35,-386.6913386823264,113,,,
36,-239.72866134790445,106,,,
37,-266.7751840162589,72,,,
38,-161.13081220863114,61,,,
39,-155.5389434538607,72,,,
40,-197.9579639564335,98,,,
41,-258.40140276214265,120,,,
42,-261.1840785763342,119,,,
43,-259.82027601792834,134,,,
44,-364.35753015467196,109,,,
45,-248.35818136172514,116,,,
46,-245.75653900056128,85,,,
47,-373.07242184866686,96,,,
48,-224.89801955596806,80,,,
49,-493.4268581205843,100,,,
50,-257.95171106860425,119,,,
51,-170.08489908141348,68,,,
52,-323.51482165441575,118,,,
53,-218.11079609893662,62,,,
54,-233.8340542415263,73,,,
55,-324.932035070683,84,,,
56,-144.9940434156481,93,,,
57,-245.37209255633158,133,,,
58,-253.6979974933817,61,,,
59,-184.743660368664,76,,,
60,-311.43508911114395,62,,,-262.79963996583234
61,-270.4384995319192,114,,,
62,-371.7235135981026,98,,,
63,-233.47702962021236,88,,,
