episode,return,length,epsilon,learning_rate,val_return
1,-186.97426034138977,65,,,
2,-243.04416825543439,99,,,
3,-278.32057776606615,86,,,
4,-170.82594320583416,59,,,
5,-401.3168240267173,109,,,
6,-258.46588405762117,65,,,
7,-265.721591409026,83,,,
8,-215.00039988348274,78,,,
9,-228.41827120567433,97,,,
10,-162.54031732688912,67,,,
11,-253.5972353113632,93,,,
12,-192.80629557713445,67,,,
13,-237.14667873565202,106,,,
14,-177.75079131326834,114,,,
15,-135.35138779660335,100,,,
16,-214.04187643661166,74,,,
17,-500.1328317832222,149,,,
18,-298.8495277912368,98,,,
19,-434.28672882543844,91,,,
20,-221.24140891102664,124,,,
21,-300.7460420678771,135,,,
22,-179.96991021583455,76,,,
23,-223.03875123934372,69,,,
24,-142.0882715331436,130,,,
25,-191.72265144060287,89,,,
26,-295.79710348191475,80,,,
27,-282.60916458736665,126,,,
28,-209.39203775074384,70,,,
29,-407.57269283964104,97,,,
30,-239.8930938656145,116,,,-252.663062965419
31,-433.5050990797056,91,,,
32,-179.26866913052842,105,,,
33,-289.85415376991085,119,,,
34,-402.1285958422626,107,,,
35,-156.46861965832574,71,,,
36,-246.60664606815845,100,,,
37,-226.77498184136005,149,,,
38,-217.4800747070548,120,,,
39,-303.55906943263807,99,,,
40,-216.24048153103618,120,,,
41,-179.8178804025709,70,,,
42,-207.06946285196233,93,,,
43,-174.22250453124087,76,,,
44,-193.64906464341388,98,,,
45,-154.4678412934241,83,,,
46,-488.66642758624687,142,,,
47,-242.0843504625188,101,,,
48,-223.94623335343715,131,,,
49,-372.937309691744,91,,,
50,-218.47935465763283,70,,,
51,-425.5190129395746,97,,,
52,-205.44658823068448,63,,,
53,-406.3244645225647,93,,,
54,-208.3787742536285,68,,,
55,-277.19661652201864,120,,,
56,-488.3162326015788,89,,,
57,-177.48481454771823,67,,,
58,-218.2844884040365,103,,,
59,-404.1797425579613,95,,,
60,-388.16368175562087,81,,,-276.53990574846074
61,-292.83559316987623,104,,,
62,-194.58132466843279,59,,,
63,-451.765814943503,113,,,
64,-433.01569786322057,97,,,
65,-396.0885003674645,142,,,
66,-252.9591153637089,98,,,
67,-184.5868570130899,68,,,
68,-166.0677804942884,63,,,
69,-368.7872844460128,125,,,
70,-235.5987687762459,62,,,
71,-184.1755758960336,64,,,
72,-190.98838771292208,73,,,
73,-330.3257478036131,112,,,
74,-202.9143507991381,64,,,
75,-330.46224161200365,99,,,
76,-416.29090320668445,96,,,
77,-433.17457572669565,88,,,
78,-206.2373032305338,82,,,
79,-248.8816811757038,113,,,
80,-225.65665345164643,74,,,
81,-257.4622416536882,79,,,
82,-307.47612691246684,67,,,
83,-131.52916876009587,131,,,
84,-324.8585463523075,99,,,
85,-230.54212219821818,72,,,
86,-222.1197669793685,76,,,
87,-348.9553371433541,105,,,
88,-261.8311347626455,105,,,
89,-189.61350444883118,141,,,
90,-189.73871566521765,95,,,-217.48943831370394
91,-241.38926511905836,63,,,
92,-618.7321229763318,142,,,
93,-249.80226151559327,115,,,
94,-388.5227360145976,95,,,
95,-325.08809594412753,131,,,
96,-434.1518301592471,93,,,
97,-267.05604074085704,97,,,
98,-383.80837212544236,111,,,
99,-229.9589125026207,97,,,
100,-192.5628001882795,86,,,
101,-234.77420977043266,109,,,
102,-232.41718227565394,115,,,
103,-172.76113339347506,90,,,
104,-364.23834699856707,99,,,
105,-558.9262654233626,119,,,
106,-252.70402812317897,102,,,
107,-168.2759256975645,73,,,
108,-293.94161813798564,81,,,
109,-252.49626741816218,112,,,
110,-343.8324292196408,107,,,
111,-246.29712965569828,123,,,
112,-243.5572058407927,115,,,
113,-224.1660184695279,70,,,
114,-212.32116370997562,65,,,
115,-240.076241608006,91,,,
116,-415.31304549651884,112,,,
117,-239.2357888533498,111,,,
118,-296.1516585733347,77,,,
119,-441.5664997639521,107,,,
120,-201.80462559294122,78,,,-216.46065490820425
121,-232.3975468439302,116,,,
122,-236.78022570835267,72,,,
123,-146.9742659359019,82,,,
124,-194.07527954857375,80,,,
125,-256.1970238937535,77,,,
126,-187.3135223346483,74,,,
127,-293.3494751199414,124,,,
128,-158.16466743118818,62,,,
129,-462.2734773240315,119,,,
130,-298.8367684389451,111,,,
131,-432.50088131644463,131,,,
132,-170.6872260872314,62,,,
133,-495.68126548965625,130,,,
134,-264.7765611148062,64,,,
135,-191.26610977881745,113,,,
136,-212.4919321880563,103,,,
137,-303.1041979357474,118,,,
138,-231.70808797907338,73,,,
139,-515.2634364545947,122,,,
140,-244.73619877569965,91,,,
141,-339.02172948113673,95,,,
142,-195.19553322486246,87,,,
143,-228.2420676448314,68,,,
144,-233.5867850058437,64,,,
145,-236.0368610335105,95,,,
146,-208.96905586385492,63,,,
147,-288.51137780822813,117,,,
148,-279.08837785036644,74,,,
149,-114.91738097838625,136,,,
150,-463.76855139612496,110,,,-179.98800659978673
151,-245.76153246307987,128,,,
152,-376.81816395542137,108,,,
153,-182.48024254311125,77,,,
154,-303.8839118024569,100,,,
155,-462.1960991573647,106,,,
156,-313.1743948964937,87,,,
157,-325.51724671197746,122,,,
158,-256.70914951181,79,,,
159,-396.38589806186826,109,,,
160,-247.61189078841025,103,,,
161,-455.2088079075336,99,,,
162,-328.10161089552776,116,,,
163,-206.0363475447816,79,,,
164,-380.5098652212848,111,,,
165,-235.9012767188247,102,,,
166,-269.5238638671884,82,,,
167,-334.3635797454438,79,,,
168,-211.1514008703098,120,,,
169,-308.90960638326976,115,,,
170,-207.35856980830448,62,,,
171,-273.46399422224556,110,,,
172,-232.28620197796593,85,,,
173,-196.6923345075265,88,,,
174,-232.74582329962897,84,,,
175,-176.11219148712388,73,,,
176,-237.54178005930518,59,,,
177,-197.44338416074385,86,,,
178,-353.8466825733424,104,,,
179,-221.2917939506888,86,,,
180,-216.17459479330188,79,,,-249.04216340099237
181,-177.51834503555492,69,,,
182,-280.6199496274111,93,,,
183,-255.17218419779152,96,,,
184,-267.5377628828309,123,,,
185,-307.47161725710384,104,,,
186,-202.0452054416721,117,,,
187,-225.18636891260974,80,,,
188,-226.7998677248599,76,,,
189,-403.50298097520306,136,,,
190,-364.9775157696796,111,,,
191,-142.31687604737897,134,,,
192,-142.79306903586314,94,,,
193,-144.82509747422432,69,,,
194,-190.8031249001646,72,,,
195,-259.1526561210401,110,,,
196,-351.1837155226252,101,,,
197,-259.8055519094282,106,,,
198,-261.06099461346093,89,,,
199,-248.25343670742666,103,,,
200,-525.6693623109786,115,,,
201,-156.26468209494612,67,,,
202,-187.50148820159347,67,,,
203,-287.2365614047534,96,,,
204,-181.93927108526876,75,,,
205,-226.15924647259743,138,,,
206,-193.89223874993456,64,,,
207,-457.5778243269188,103,,,
208,-221.56694615067877,56,,,
209,-452.3075237729352,102,,,
210,-231.56922869059662,110,,,-267.71928186593374
211,-291.2076252746387,90,,,
212,-437.33134856778275,111,,,
213,-199.20031661981415,76,,,
214,-219.62418083312275,91,,,
215,-187.03581818068236,67,,,
216,-275.56600393401914,118,,,
217,-548.3717413638522,112,,,
218,-366.9409277128856,98,,,
219,-230.3731966521022,124,,,
220,-283.610027947574,71,,,
221,-229.48852959538578,75,,,
222,-190.6880041757698,72,,,
223,-277.9620504559718,138,,,
224,-231.99251300552882,61,,,
225,-195.8407672768109,78,,,
226,-551.0029849432575,129,,,
227,-222.12881848547818,86,,,
228,-206.12454057095678,113,,,
229,-184.95417880242206,112,,,
230,-271.84041355864997,109,,,
231,-308.3386534822321,127,,,
232,-366.0948927850699,114,,,
233,-507.5842794271415,118,,,
234,-224.65249484557347,75,,,
235,-375.1538854307473,127,,,
236,-46.53840497527855,91,,,
237,-329.45255111483584,122,,,
238,-246.02188165122848,83,,,
239,-256.47634378411374,97,,,
240,-247.86472754458708,121,,,-246.79194340862878
241,-457.83623059534716,121,,,
242,-255.51642971486427,85,,,
243,-270.8318644255942,141,,,
244,-182.77133299795085,77,,,
245,-448.12704182589516,99,,,
246,-364.7966670394144,111,,,
247,-165.25117282754832,75,,,
248,-264.0492981249588,77,,,
249,-354.86012462929693,129,,,
250,-267.9563055736464,80,,,
251,-421.5882991293972,91,,,
252,-241.81851655595818,60,,,
253,-216.02349468763862,75,,,
254,-454.78046807017597,117,,,
255,-149.81890805870987,126,,,
256,-152.60867576388085,102,,,
257,-245.09533738252787,78,,,
258,-249.15622432035315,59,,,
259,-270.19673414277963,82,,,
260,-281.1767995279573,74,,,
261,-322.79675397621475,118,,,
262,-267.10470192417756,64,,,
263,-473.130829080759,92,,,
264,-325.6151443440084,119,,,
265,-303.696961601848,117,,,
266,-190.12743349582428,67,,,
267,-282.20878326074705,106,,,
268,-418.70724791160796,102,,,
269,-271.69497348047673,102,,,
270,-408.30151113248274,119,,,-285.1972393267494
271,-334.9635224682273,102,,,
272,-130.53449003851972,72,,,
273,-370.45074043951934,111,,,
274,-320.5955029771841,119,,,
275,-171.72471114255777,65,,,
276,-228.3159402927402,110,,,
277,-463.9565978265683,133,,,
278,-259.1823367847362,108,,,
279,-248.56131284570853,80,,,
280,-302.251039966321,110,,,
281,-191.6079047975664,74,,,
282,-207.70370206141277,71,,,
283,-382.2571841497461,118,,,
284,-217.1813824297805,108,,,
285,-476.75539847250735,95,,,
286,-472.0858158874505,143,,,
287,-372.6868571935888,117,,,
288,-228.54021163826508,91,,,
289,-223.58140180141828,69,,,
290,-228.5988453167223,67,,,
291,-264.8856608781638,115,,,
292,-187.98626086135837,83,,,
293,-306.20044447536037,101,,,
294,-305.92896557518816,114,,,
295,-241.56745564862354,108,,,
296,-222.23575327794333,113,,,
297,-203.90275514275808,96,,,
298,-196.15016894194304,84,,,
299,-293.5193205771052,85,,,
300,-221.8199481130073,108,,,-263.6654939689176
