episode,return,length,epsilon,learning_rate,val_return
1,-451.509912987387,111,,,
2,-164.07976544051277,75,,,
3,-209.3443018920075,80,,,
4,-319.68153449391104,105,,,
5,-312.36532964955927,103,,,
6,-238.10055243395414,122,,,
7,-227.6898755215738,75,,,
8,-221.00333553227006,140,,,
9,-313.86756372188313,128,,,
10,-200.55161109082547,75,,,
11,-295.333793867591,147,,,
12,-316.49244374426104,103,,,
13,-389.0426747528869,95,,,
14,-194.621596312323,68,,,
15,-373.4706749850044,95,,,
16,-174.49296575093615,68,,,
17,-302.69932842440994,85,,,
18,-185.09875795343874,121,,,
19,-249.77339520846772,98,,,
20,-194.68307169673432,59,,,
21,-300.68437071315213,98,,,
22,-232.99480413524088,86,,,
23,-523.6546069169434,104,,,
24,-286.06953093457065,83,,,
25,-209.1321543836213,68,,,
26,-392.06875663572794,92,,,
27,-393.1989555210362,106,,,
28,-196.91753613326688,85,,,
29,-328.29837622429767,105,,,
30,-249.48969787551658,129,,,-261.2859907487319
31,-421.44269937352,98,,,
32,-233.76643705246966,165,,,
33,-478.8829310796609,128,,,
34,-422.0770536475851,89,,,
35,-162.88796980280085,139,,,
36,-201.06646028778863,91,,,
37,-269.68004905646137,104,,,
38,-187.6709464514686,67,,,
39,-449.3958906181248,93,,,
40,-188.11759029325913,78,,,
41,-201.55043543074282,78,,,
42,-168.51495026271013,105,,,
43,-449.16744715658444,90,,,
44,-409.72637663243887,99,,,
45,-240.07108391425265,84,,,
46,-209.10445230690888,62,,,
47,-387.21451512846204,122,,,
48,-430.9308561050123,83,,,
49,-325.2747128135662,105,,,
50,-158.9100950438846,97,,,
51,-315.1109996992251,123,,,
52,-445.28019247400886,88,,,
53,-345.59610788073644,107,,,
54,-261.87371582040663,75,,,
55,-369.9614875438328,92,,,
56,-326.01363619096384,94,,,
57,-442.0790400826386,101,,,
58,-191.31720625759974,69,,,
59,-512.5915928839249,113,,,
60,-190.91362463626288,80,,,-262.9114055400684
61,-279.2794897930718,120,,,
62,-185.4431532874791,89,,,
63,-138.5155232194502,80,,,
64,-465.64740224720924,92,,,
65,-324.82945210372725,137,,,
66,-198.50187182235516,88,,,
67,-306.86355852007637,76,,,
68,-297.35898707205797,140,,,
69,-446.7324255349668,101,,,
70,-207.12246197245548,83,,,
71,-353.25968935653077,104,,,
72,-198.97344517640346,65,,,
73,-197.12060704354644,86,,,
74,-368.83420266809446,134,,,
75,-155.0735421966158,74,,,
76,-351.2462867938501,89,,,
77,-191.7143096063535,69,,,
78,-181.21107147827018,98,,,
79,-389.4803593565829,97,,,
80,-187.24343619936124,76,,,
81,-289.28220878167684,102,,,
82,-184.80398721675806,79,,,
83,-253.90552159007714,123,,,
84,-179.44377103778712,64,,,
85,-319.7336006913359,91,,,
86,-197.5934837694657,87,,,
87,-403.66665169510316,94,,,
88,-178.6023169861368,62,,,
89,-239.94521498479,124,,,
90,-376.1449246467202,120,,,-249.86267875923795
91,-332.4453273932741,109,,,
92,-228.23869847732487,113,,,
93,-210.9365079281063,81,,,
94,-433.0978952322979,105,,,
95,-472.6863288872779,93,,,
96,-330.1935238343061,81,,,
97,-241.29011511125435,105,,,
98,-175.99908246665456,69,,,
99,-308.0892080709982,67,,,
100,-313.1911241340528,122,,,
101,-179.3414186469564,66,,,
102,-428.36188881312216,138,,,
103,-355.8761249182298,103,,,
104,-177.93790741331617,70,,,
105,-299.39409241563334,87,,,
106,-215.20977081576092,84,,,
107,-303.6476254591754,111,,,
108,-199.1472883059056,80,,,
109,-349.25652822151113,97,,,
110,-384.6565161035628,97,,,
111,-109.29304285241938,124,,,
112,-203.2524425742691,61,,,
113,-355.2089874211688,162,,,
114,-180.25185046137105,86,,,
115,-164.4673406696714,90,,,
116,-209.6088195213022,78,,,
117,-404.90793768136973,92,,,
118,-412.50601660590144,98,,,
119,-227.55005746300466,126,,,
120,-253.56230784404124,68,,,-279.85995436402084
121,-239.17858979965078,90,,,
122,-270.3553710813695,63,,,
123,-341.1517316345511,90,,,
124,-232.56431514901863,101,,,
125,-148.65728294227534,77,,,
126,-396.8957851632598,117,,,
127,-189.45523390345306,80,,,
128,-495.7845264499472,82,,,
129,-422.6596493337848,94,,,
130,-200.6143774126307,96,,,
131,-478.38594694534,127,,,
132,-329.9590286509562,114,,,
133,-433.9915112722693,118,,,
134,-258.5401568934594,110,,,
135,-414.8127065117021,111,,,
136,-175.72533356326085,62,,,
137,-346.98140245967096,102,,,
138,-310.87896650046673,109,,,
139,-674.4185454996932,111,,,
140,-454.3929016943357,88,,,
141,-195.2197505837003,161,,,
142,-186.548644846732,107,,,
143,-262.562855001168,105,,,
144,-202.17819460755842,94,,,
145,-237.09113101597848,70,,,
146,-221.6949407213916,90,,,
147,-230.79377630990643,98,,,
148,-190.20626131089568,71,,,
149,-449.1971027558252,112,,,
150,-198.6396064626285,63,,,-293.8118366142405
151,-287.73122762404114,101,,,
152,-205.11043550418557,62,,,
153,-251.7073752104578,113,,,
154,-227.18258010069874,69,,,
155,-192.26906708856845,75,,,
156,-406.78095298884966,132,,,
157,-106.47897180224646,158,,,
