episode,return,length,epsilon,learning_rate,val_return
1,-202.4176007645325,68,,,
2,-450.8799916172271,98,,,
3,-218.91375797599903,79,,,
4,-191.87135404251114,99,,,
5,-201.66619524773287,89,,,
6,-209.12526870830052,61,,,
7,-234.98461543678167,64,,,
8,-408.2735129760343,100,,,
9,-418.9996431795133,109,,,
10,-181.99271214104647,103,,,
11,-201.04926305785864,84,,,
12,-424.05916030660933,126,,,
13,-251.13446735857096,135,,,
14,-305.4210589875273,94,,,
15,-185.821822049805,95,,,
16,-229.69063145138702,108,,,
17,-230.10644954920994,105,,,
18,-212.09303426431606,67,,,
19,-212.07345979800695,69,,,
20,-199.79547439075054,65,,,
21,-264.15567596894056,110,,,
22,-236.4783271125498,81,,,
23,-349.75794604808243,117,,,
24,-415.9897111913976,107,,,
25,-339.4757054726839,125,,,
26,-208.99763353111211,83,,,
27,-465.60188390956546,101,,,
28,-193.47828231673938,59,,,
29,-223.76588402127354,83,,,
30,-233.93664847724693,68,,,-324.3050603370487
31,-416.5460714585063,97,,,
32,-196.2251766864714,63,,,
33,-384.19232352432095,102,,,
34,-226.12711056712922,108,,,
35,-445.11158875357336,121,,,
36,-231.280888886806,98,,,
37,-125.50062548165002,68,,,
38,-456.9482709139386,101,,,
39,-406.3618771977175,102,,,
40,-201.7551499058545,90,,,
41,-324.07394768632133,102,,,
42,-361.82798613388053,95,,,
43,-160.69491075495822,71,,,
44,-216.17626296899823,89,,,
45,-389.775773405236,93,,,
46,-281.94940318701015,92,,,
47,-469.3831854222574,129,,,
48,-184.6103023548159,81,,,
49,-171.3421631962754,72,,,
50,-153.58483834316064,92,,,
51,-171.69532372948183,90,,,
52,-237.2001635817476,115,,,
53,-332.92984067691737,84,,,
54,-418.170564269882,124,,,
55,-223.11733729860913,92,,,
56,-240.82393854759616,80,,,
57,-154.96391057685938,83,,,
58,-327.02735567921127,73,,,
59,-200.6425472912539,84,,,
60,-219.57891639238,94,,,-264.562451507278
61,-171.11681287548058,73,,,
62,-357.3524005481699,118,,,
63,-231.15692295907243,98,,,
64,-380.11173972145025,101,,,
65,-235.60707061619664,100,,,
66,-288.5253821463359,80,,,
67,-220.7604096940753,76,,,
68,-286.844528864205,121,,,
69,-343.52030097130955,101,,,
70,-267.7648335683567,84,,,
71,-256.79923249309707,103,,,
72,-217.88801232756725,108,,,
73,-262.5605600048142,112,,,
74,-201.9596589401673,78,,,
75,-427.0755848392286,96,,,
76,-413.97029856697793,110,,,
77,-211.05141121477976,98,,,
78,-294.7408851823128,60,,,
79,-252.89411011554273,139,,,
80,-216.7080703793012,100,,,
81,-188.21226059483405,78,,,
82,-386.08156243912254,75,,,
83,-237.08499435781386,123,,,
84,-201.98588920027152,98,,,
85,-343.07432198696597,91,,,
86,-204.84336858325386,66,,,
87,-431.34388027820575,95,,,
88,-296.7843682107747,99,,,
89,-225.07075294989795,83,,,
90,-195.42720234382801,101,,,-243.28790714409516
91,-345.01669075311895,110,,,
92,-231.93240312346828,89,,,
93,-170.6058513125244,71,,,
94,-194.33257490505846,119,,,
95,-158.73383298001573,82,,,
96,-193.2527891340015,118,,,
97,-319.24858315087977,126,,,
98,-490.74967511578666,104,,,
99,-435.70273000152326,110,,,
100,-341.0789212934978,120,,,
101,-545.1248059240091,127,,,
102,-197.2896574570007,76,,,
103,-413.77429159039764,109,,,
104,-215.57836809570657,65,,,
105,-313.34173626980703,88,,,
106,-230.43670719313724,87,,,
107,-226.21918400505464,119,,,
108,-186.50766974534903,104,,,
109,-435.68800047044283,91,,,
110,-219.99441084632122,80,,,
111,-179.5396084507599,87,,,
112,-212.40240189693282,70,,,
113,-285.2472492551861,118,,,
114,-205.46229125731054,60,,,
115,-352.636733015755,96,,,
116,-183.3087291169932,123,,,
117,-331.2938634628211,106,,,
118,-268.43092164832774,120,,,
119,-398.50036749346356,90,,,
120,-238.7101121572377,97,,,-267.740617879295
121,-319.0462012055469,112,,,
122,-245.92734289986623,93,,,
123,-296.7675539058439,92,,,
124,-418.30151932743513,100,,,
125,-267.8024011551431,112,,,
126,-450.5975910643505,88,,,
127,-456.6855176994609,122,,,
128,-528.0427241752682,134,,,
129,-246.22981330423596,119,,,
130,-388.9969800152671,81,,,
131,-486.1484054509539,133,,,
132,-186.18228895077604,102,,,
133,-415.67184113467204,108,,,
134,-620.931978243905,97,,,
135,-358.9420963879496,123,,,
136,-265.2490297505066,91,,,
137,-189.00166291569522,76,,,
138,-197.83675087289262,77,,,
139,-323.29250706911796,92,,,
140,-456.10020295598497,100,,,
141,-104.64055020296539,95,,,
142,-474.9138994261948,98,,,
143,-190.6542620907824,79,,,
144,-195.4065986204207,118,,,
145,-382.90112773267657,119,,,
146,-191.33749517154124,77,,,
147,-362.14020555376203,84,,,
148,-518.5500979420865,97,,,
149,-129.84904849218947,91,,,
150,-221.43571365024889,119,,,-272.4771263005167
151,-426.26165389034225,84,,,
152,-174.10702845899007,78,,,
153,-433.3288806039686,135,,,
154,-471.406955753681,91,,,
155,-210.36860163191332,102,,,
156,-213.73731792774768,92,,,
157,-430.39573439913556,103,,,
158,-229.55871954183812,75,,,
159,-433.17871610813336,99,,,
160,-369.99098064389784,64,,,
161,-322.3922994755802,89,,,
162,-210.74445920831448,103,,,
163,-426.50342476605624,133,,,
164,-262.37079493007735,98,,,
165,-395.975036988077,84,,,
166,-225.92810553493194,62,,,
167,-182.45299619600024,80,,,
168,-289.5927049692038,65,,,
169,-227.75952817337316,91,,,
170,-352.83278106118496,94,,,
171,-144.44283839197328,141,,,
172,-179.4322235368626,114,,,
173,-274.83653493866126,73,,,
174,-474.9166606920869,98,,,
