episode,return,length,epsilon,learning_rate,val_return
1,-365.42783476802686,72,,,
2,-241.15192725158442,83,,,
3,-421.13974091514433,100,,,
4,-250.6910171632402,100,,,
5,-309.6358598291866,84,,,
6,-234.43107692822687,78,,,
7,-193.690386650867,96,,,
8,-176.24150353179914,86,,,
9,-156.93302837604952,74,,,
10,-430.98547549940486,97,,,
11,-188.02708152720885,81,,,
12,-165.85739039396816,75,,,
13,-235.57879663211648,82,,,
14,-312.3901076587406,92,,,
15,-370.92487396165325,120,,,
16,-341.53199492558736,78,,,
17,-260.91418840080945,125,,,
18,-205.9011339722773,120,,,
19,-342.23309106189606,105,,,
20,-211.97343318940335,64,,,
21,-415.4606025262864,99,,,
22,-362.92921499070076,80,,,
23,-162.68644110176328,84,,,
24,-287.24148377131286,130,,,
25,-400.91641938567847,91,,,
26,-316.02282469762076,110,,,
27,-350.13398951170177,97,,,
28,-140.317540210612,113,,,
29,-422.8003130955258,110,,,
30,-310.17624044510274,120,,,-272.45561111797025
31,-245.45037283825778,100,,,
32,-230.60109344775728,80,,,
33,-260.23009330595653,96,,,
34,-384.6718177517512,76,,,
35,-255.1246262512251,123,,,
36,-313.97639661244966,88,,,
37,-204.4264049233591,104,,,
38,-427.96558127329723,82,,,
39,-302.21264060722245,76,,,
40,-286.1996977582218,63,,,
41,-180.94709797191618,105,,,
42,-484.2104786996243,94,,,
43,-308.52520523926273,95,,,
44,-162.1112684301071,105,,,
45,-272.07394771539623,85,,,
46,-210.9110207862144,82,,,
47,-223.60825056768203,78,,,
48,-443.6623209807533,89,,,
49,-404.17285289597976,97,,,
50,-274.5624852023029,106,,,
51,-238.91792015089374,93,,,
52,-380.63672215253183,111,,,
53,-296.9821221616071,93,,,
54,-208.90416156256836,88,,,
55,-390.51379775455496,110,,,
56,-221.37140057323964,129,,,
57,-277.6914014190686,82,,,
58,-199.62949216286242,75,,,
59,-442.353359924938,94,,,
60,-439.70792022319375,86,,,-290.48520224163497
61,-308.88246899394244,105,,,
62,-300.27648340413896,105,,,
63,-397.74321111977486,102,,,
64,-204.40694391184357,72,,,
65,-391.41697135153527,83,,,
66,-387.1690678302103,119,,,
67,-400.94898201505123,122,,,
68,-209.38017329664925,63,,,
69,-292.4059632739268,106,,,
70,-526.4306896294497,99,,,
71,-293.1516435139589,98,,,
72,-520.8938568630684,101,,,
73,-454.5400298815365,85,,,
74,-225.3621788540534,86,,,
75,-254.43709276572838,103,,,
76,-235.884138823611,79,,,
77,-510.2239809329828,95,,,
78,-256.8268033954891,116,,,
79,-259.4377981499539,114,,,
80,-249.1084560978056,96,,,
81,-496.498670695423,85,,,
82,-428.3865410128808,90,,,
83,-359.3009770704151,134,,,
84,-433.38631543102906,75,,,
85,-269.57791440600005,106,,,
86,-354.7760129514576,78,,,
87,-426.0154382887098,74,,,
88,-507.19857026075164,64,,,
89,-248.71755899649247,96,,,
90,-342.39195548455353,81,,,-384.36672251380253
91,-198.35479827289896,65,,,
92,-556.7547908519285,76,,,
93,-388.50435515824694,113,,,
94,-515.1986991581465,83,,,
95,-209.77865154067314,77,,,
96,-372.1913652774177,76,,,
97,-317.5744425199178,143,,,
98,-514.918669178838,95,,,
99,-510.7912157474687,111,,,
100,-300.48263406908825,107,,,
