episode,return,length,epsilon,learning_rate,val_return
1,-178.95247699188198,62,,,
2,-492.40407037411285,92,,,
3,-311.89740953711413,75,,,
4,-220.5580200996402,73,,,
5,-191.0046291681149,75,,,
6,-449.7102230117244,87,,,
7,-282.04165223866926,106,,,
8,-285.4275332202262,62,,,
9,-232.22835226177705,81,,,
10,-201.56307688477972,65,,,
11,-463.4440020407726,90,,,
12,-312.0131647872321,65,,,
13,-454.3756636220993,110,,,
14,-209.7750880140807,63,,,
15,-332.66559015775414,143,,,
16,-167.36862284343587,68,,,
17,-369.96096792446195,93,,,
18,-279.050353563624,99,,,
19,-313.5439235968918,115,,,
20,-407.9918166620139,76,,,
21,-202.27702489906648,134,,,
22,-84.72415813568453,90,,,
23,-191.452408645122,87,,,
24,-172.3097114001251,62,,,
25,-273.6210296187778,121,,,
26,-336.7153447570063,81,,,
27,-267.31767858927464,105,,,
28,-205.64563589330777,93,,,
29,-504.18679337153435,135,,,
30,-203.1146313922025,103,,,-264.3819322919476
31,-354.56928880289445,94,,,
32,-207.76507581096277,108,,,
33,-350.2787201875493,83,,,
34,-186.35993971288192,64,,,
35,-304.16268753267775,85,,,
36,-203.93510671133657,105,,,
37,-166.83586516330803,66,,,
38,-200.9651988379368,77,,,
39,-295.29301132855494,104,,,
40,-373.84317975379133,126,,,
41,-275.2149661436483,113,,,
42,-192.44889074652204,78,,,
43,-235.81427339182062,101,,,
44,-220.20325628281995,84,,,
45,-308.8121583191064,76,,,
46,-410.77454769612626,89,,,
47,-266.8362082447211,91,,,
48,-428.97122575417296,91,,,
49,-171.69655618727353,65,,,
50,-244.273941579565,118,,,
51,-280.78839725978503,118,,,
52,-221.11775909725012,118,,,
53,-255.6826100510483,115,,,
54,-384.7503628193439,95,,,
55,-429.8541842229573,126,,,
56,-361.0751601856832,110,,,
57,-260.66919405181125,76,,,
58,-231.04711013837021,85,,,
59,-572.3470557880202,97,,,
60,-227.75478565061147,106,,,-256.72009030181744
61,-342.86036566322883,150,,,
62,-374.74120828723073,79,,,
63,-299.5707378340019,140,,,
64,-186.9734822039993,97,,,
65,-216.3539888404221,95,,,
66,-325.7526955629925,123,,,
67,-147.85518614175314,120,,,
68,-194.82553848648112,62,,,
69,-431.6691799269774,97,,,
70,-258.5408313341231,82,,,
71,-334.1712038501478,106,,,
72,-294.39081796473084,109,,,
73,-152.98841263336317,79,,,
74,-278.75754933176245,81,,,
75,-608.2315066962736,120,,,
76,-262.74731931438845,84,,,
77,-291.4126109883237,92,,,
78,-215.45788555367193,88,,,
79,-269.62936186301954,87,,,
80,-326.423414599828,100,,,
81,-280.91027010714646,108,,,
82,-245.88976318610867,121,,,
83,-463.43595269973486,107,,,
84,-134.2005111452708,118,,,
85,-251.12750200954838,86,,,
86,-219.45720691369132,113,,,
87,-211.99561078555237,78,,,
88,-370.23640903807416,107,,,
89,-319.4227125561804,116,,,
90,-218.83301780330532,75,,,-273.91618313974357
91,-470.0047285440782,100,,,
92,-145.58437161438277,85,,,
93,-243.24603735281212,94,,,
94,-74.3878552392781,80,,,
95,-469.1639600441063,95,,,
96,-229.72998984739135,113,,,
97,-242.21106033701918,68,,,
98,-235.9306963683288,118,,,
99,-282.9750044317484,112,,,
100,-307.09957631345446,110,,,
101,-185.50663118227362,75,,,
102,-309.58014658306786,96,,,
103,-335.34773143184617,78,,,
104,-238.09443349340597,111,,,
105,-285.24035304913474,133,,,
106,-155.22201962817292,68,,,
107,-478.4903203951685,97,,,
108,-207.7903091340458,81,,,
109,-182.3094131207526,68,,,
110,-420.76246988586973,98,,,
111,-298.41000731227336,116,,,
112,-257.5890231995663,101,,,
113,-264.9349196794098,69,,,
114,-189.42302645224692,77,,,
115,-165.01660857353033,79,,,
116,-198.3423629847813,68,,,
117,-175.27096454766348,66,,,
118,-203.91018362211793,76,,,
119,-262.56016996782074,103,,,
120,-360.0313831112295,93,,,-242.41872983135954
121,-261.32487045515967,109,,,
122,-386.19224119333495,116,,,
123,-217.45772149879343,70,,,
124,-262.9025957005479,83,,,
125,-194.0465109296499,71,,,
126,-181.88595906115992,61,,,
127,-276.0196153015245,127,,,
128,-256.6108377638008,60,,,
129,-210.74289559358107,89,,,
130,-110.62638912664319,94,,,
131,-433.53877338068946,137,,,
132,-277.39007635272117,73,,,
133,-215.5706324123744,77,,,
134,-350.55925752800243,99,,,
135,-435.39366688256644,99,,,
