episode,return,length,epsilon,learning_rate,val_return
1,-218.07991519904755,83,,,
2,-407.63128629911773,89,,,
3,-370.807782846517,82,,,
4,-257.7384283424891,125,,,
5,-207.7693646671818,73,,,
6,-173.37931733634102,93,,,
7,-314.2957005320289,133,,,
8,-402.91244409804744,76,,,
9,-520.8132334349788,124,,,
10,-439.4818725400281,89,,,
11,-457.98021807137,135,,,
12,-209.79092671224453,124,,,
13,-216.20400837164829,76,,,
14,-212.13314442880326,123,,,
15,-240.50206196888738,140,,,
16,-314.0671462522968,117,,,
17,-297.3529973615914,123,,,
18,-191.25398628599643,60,,,
19,-375.5206526263893,82,,,
20,-302.0182275554903,122,,,
21,-239.4435014134487,91,,,
22,-311.5405669196721,85,,,
23,-515.1564697389251,124,,,
24,-230.64656058008245,108,,,
25,-342.6601507825813,106,,,
26,-211.08358062963032,66,,,
27,-212.38555752204545,67,,,
28,-188.17382617030037,96,,,
29,-302.96013510402497,95,,,
30,-217.32590502163248,76,,,-244.9050012177949
31,-242.3449512989133,107,,,
32,-331.6513479950536,110,,,
33,-221.52836816506826,112,,,
34,-386.8458223257285,76,,,
35,-252.9857388734264,101,,,
36,-409.5398538453268,82,,,
37,-300.9767175527486,96,,,
38,-336.48742670615445,74,,,
39,-234.6767548009773,104,,,
40,-276.2000233110424,72,,,
41,-339.74030544327763,99,,,
42,-319.4466717592254,127,,,
43,-272.4388282856872,60,,,
44,-208.39360990220825,65,,,
45,-211.88576859773445,101,,,
46,-298.92310735993857,77,,,
47,-286.7952101114374,114,,,
48,-237.1154212915015,103,,,
49,-420.48757637442543,132,,,
50,-352.0358765911735,78,,,
51,-211.32088779950416,76,,,
52,-216.51819976614001,82,,,
53,-236.19892946877604,102,,,
54,-324.1580991417885,120,,,
55,-381.2521967400552,112,,,
56,-292.8744872997517,84,,,
57,-139.2107858600202,90,,,
58,-224.22262895390804,59,,,
59,-262.837552175403,89,,,
60,-196.79442184298964,81,,,-214.22946675122589
61,-258.8628312576146,106,,,
62,-322.9175759011944,75,,,
63,-352.41116922369196,75,,,
64,-403.11309973069376,107,,,
65,-318.6004896251321,99,,,
66,-497.2943289106798,108,,,
67,-177.50792986113768,137,,,
68,-219.52059646978023,62,,,
69,-179.46802727928883,71,,,
70,-234.1309589348404,110,,,
71,-210.16683600349086,72,,,
72,-403.9578483769054,101,,,
73,-457.82417380430627,111,,,
74,-277.40861686231267,108,,,
75,-311.65303721634575,126,,,
76,-292.17184950035187,74,,,
77,-506.4324239634472,110,,,
78,-308.0068814527226,63,,,
79,-296.4674459151564,69,,,
80,-212.26888398725623,64,,,
81,-216.58552753604081,107,,,
82,-519.4299998955705,126,,,
83,-338.8644872830187,90,,,
84,-301.5321508834249,101,,,
85,-346.0462865243795,83,,,
86,-225.1587877367891,66,,,
87,-251.28018799323976,82,,,
88,-279.35401774920854,83,,,
89,-355.4651120737019,113,,,
90,-275.87270035899286,60,,,-212.37709064875312
91,-313.6795080434957,77,,,
92,-293.3440729573345,95,,,
93,-237.03659313164457,100,,,
94,-322.36068590395735,98,,,
95,-91.63790862484703,76,,,
96,-214.85111684502195,70,,,
97,-232.16334847585796,92,,,
98,-242.90179020060404,56,,,
99,-232.58401672743474,58,,,
100,-276.8337275773077,62,,,
101,-228.17822896285588,53,,,
102,-129.36579312522176,93,,,
103,-290.3893730256285,75,,,
104,-201.90292158059015,58,,,
105,-252.5288819795006,64,,,
106,-214.49793375682694,77,,,
107,-267.1026434312171,65,,,
108,-270.58006880454974,69,,,
109,-273.30705205116243,75,,,
110,-355.48761260125923,93,,,
111,-195.71443932813511,60,,,
112,-337.67170527704354,97,,,
113,-215.98053343078158,70,,,
114,-194.3015453141589,55,,,
115,-463.50619517713295,95,,,
116,-341.6820900819249,92,,,
117,-246.13783921795996,109,,,
118,-346.2922435712714,68,,,
119,-275.89155917835984,58,,,
120,-403.72593498062565,93,,,-268.7992417363214
121,-210.18313735753267,54,,,
122,-266.83138411851473,82,,,
123,-257.82691718035625,56,,,
124,-355.91818142495333,94,,,
125,-569.9276618186927,127,,,
126,-278.75196239919813,69,,,
127,-97.6395482809771,84,,,
128,-189.00568303338116,54,,,
129,-257.34157862942277,71,,,
130,-252.01223899755314,57,,,
131,-280.9948959412691,75,,,
132,-247.16728233467344,53,,,
133,-303.28317493352426,57,,,
134,-329.33810437217744,77,,,
135,-437.7679458755082,88,,,
136,-231.10489081916526,58,,,
137,-253.61744637906867,89,,,
138,-236.59806258286346,54,,,
139,-214.52323549348512,63,,,
140,-256.5243103480293,67,,,
141,-279.33809077072823,100,,,
142,-334.3056343877239,91,,,
143,-488.2050121894707,86,,,
144,-322.8982378703108,74,,,
145,-247.76457528898374,66,,,
146,-422.2282353695264,85,,,
147,-406.8086354132507,96,,,
148,-388.14341571248815,70,,,
149,-293.2007803721441,78,,,
