learning_rate,gamma,optimizer,weight_decay,val_return,val_std,val_success_rate,val_fuel_usage,best_train_return,final_train_return
0.0005,0.95,adam,0.0,-181.47993147366697,45.60749914766576,0.0,317.0,305.0044030032634,-121.9769032573888
0.0005,0.95,adam,0.0001,-226.22837228205194,66.45965310916819,0.0,311.8,328.7080391054358,277.60800813545796
0.0005,0.95,rmsprop,0.0,-37.17108789251364,203.33031163163676,0.4,443.0,344.6950126069821,300.675662150954
0.0005,0.95,rmsprop,0.0001,-152.71068936554678,7.5259417399637085,0.0,318.4,302.5127847070381,-61.924207299662065
0.0005,0.99,adam,0.0,159.11347840962958,221.23330666837123,0.6,67.4,384.16342484482175,-190.04365969273692
0.0005,0.99,adam,0.0001,297.89942002329514,11.982650871810685,1.0,138.8,387.3013614564582,-112.74033375523985
0.0005,0.99,rmsprop,0.0,147.8992505629189,223.69905103043268,0.8,147.2,306.50606265849666,74.58015950073079
0.0005,0.99,rmsprop,0.0001,276.5641962382683,9.345522302851851,1.0,134.3,345.7769741759707,-97.34093095041507
0.001,0.95,adam,0.0,-253.32504718450772,87.54745469758946,0.0,392.9,299.76849152384654,-93.20990444782697
0.001,0.95,adam,0.0001,-121.4087558161204,168.94371806580412,0.2,335.6,280.74373640773075,-70.95408595835667
0.001,0.95,rmsprop,0.0,-183.7763859494719,24.88168360099017,0.0,348.2,300.4926167351998,45.00670088215491
0.001,0.95,rmsprop,0.0001,-539.2676366127514,688.767772641121,0.0,335.3,276.35552249571015,-147.97263704740152
0.001,0.99,adam,0.0,-21.868653264198297,235.0909948753405,0.4,133.5,355.3361561103186,278.259874339981
0.001,0.99,adam,0.0001,-4.058162332973541,256.1245013715916,0.4,161.7,366.2235946588553,-281.9172315232515
0.001,0.99,rmsprop,0.0,-192.1148278598356,31.71555063875426,0.0,355.2,336.3916825921113,25.21511977225512
0.001,0.99,rmsprop,0.0001,8.14294199723975,185.51629925759534,0.4,166.6,316.86964848847526,287.8171557279485
